"Professor","Class_Code","Class_Name","Dept","Dept.Type","Overall_Rating","Easiness","Clarity","Workload","Helpfulness","Average_A_Plus","Average_A","Average_A_Minus","Average_B_Plus","Average_B","Average_B_Minus","Average_C_Plus","Average_C","Average_C_Minus","Average_D_Plus","Average_D","Average_D_Minus","Average_F","Avg_GPA","Review","Review.Quarter","Reviewer.Grade"
"Richard B Kaner","CHEM 189","Advanced Honors Seminars: Advanced Honors Seminar for Chemistry & Biochemistry 171, Lecture 1","CHEM","stem",5,5,5,5,5,0,0.8185,0.1615,0.02,0,0,0,0,0,0,0,0,0,3.93755,"I really enjoyed this class. The focus is on ""Materials World"", so there are many engaging 50 minute lectures where Kaner talks about gemstones, AC vs DC, plastics, semiconductors, rubies, and even his own company being FDA approved. He's often really funny and shares so much of his knowledge, passion, and experience to the class; it felt perfect after the 50 min lecture from Chem 171. You only have to attend and write a 5 page essay due at Monday Midnight after Final's week. Highly recommend this class if you can fit this in your schedule.","Fall 2022","A"
"Richard B Kaner","CHEM 189","Advanced Honors Seminars","CHEM","stem",4.7,2.7,4.4,2.2,4.6,0.0045,0.567125,0.292375,0.119625,0.010375,0,0,0,0,0,0,0,0.006,3.794175,"Very cute and essential class to take with 171! It really builds on concepts that you learn and doesn't take too much time and is honestly super interesting to anyone even without a super deep chemistry background. You learn about a lot of materials like plastic, glass, gemstones and the like and it's very casual. For the last lecture we just talked about random things and he showed off his cat and talked about research and stuff and it was overall just good times and good vibes.","Fall 2020","A"
"Heather Tienson-Tseng","CHEM 189","Advanced Honors Seminars","CHEM","stem",5,5,4,4.5,5,0.5,0.4,0,0,0,0,0,0,0,0,0,0,0.1,3.6,"This was a pretty interesting seminar that teaches you how to construct or edit a Wikipedia article that is biochemistry related! It was actually a pretty fun and chill class for students who need honors credit! Highly recommend taking it!","Spring 2018","A"
"Joseph A Loo","CHEM 184","Chemical Instrumentation","CHEM","stem",4.8,3.5,4.7,3.2,4.7,0.0149090909090909,0.230818181818182,0.127909090909091,0.167272727272727,0.243363636363636,0.105909090909091,0.051,0.0330909090909091,0.00781818181818182,0.00790909090909091,0,0,0.00990909090909091,3.23127272727273,"The previous reviews are pretty accurate. I honestly enjoyed this class and I highly recommend it. The class structure was fair and reasonable. Dr. Loo himself is actually pretty funny and he always tried to make his lectures interesting with little anecdotes. He would gear lectures towards topics that actually interested him and were actually useful, so it never got too boring. You walk away from this class feeling like you actually learned something useful as a future chemist (even if it is mainly mass spec).","Winter 2020","A"
"Max Kopelevich","CHEM 125","Computers in Chemistry","CHEM","stem",4.8,4.2,5,4,5,0.148,0.415777777777778,0.219777777777778,0.0953333333333333,0.0825555555555556,0.031,0,0,0,0,0,0,0.00733333333333333,3.71425555555555,"Although this class is not a free A, it is an easy one. You do have to think critically and understand the concepts but if you put in the effort and A is totally possible. For an upper division chemistry elective this is what you want to take. I did get an A- because I was dealing with 20 units, research, and marching band, but I think an A would be doable during a normal course load. There will be times you feel like you have no clue what is going on but go to office hours and everything will eventually make sense. Kopelevich is a reasonable man and simply paying attention in class, doing the assignments, and showing up to office hours if you don't understand anything will lead you to success. Would definitely take again.","Fall 2018","A-"
"Benjamin J Schwartz","CHEM C215B","Quantum Chemistry: Methods","CHEM","stem",5,3,5,3,5,0.0455,0.382,0.1,0.203,0.1245,0.112,0,0,0,0,0,0,0.0335,3.4258,"This class was a bit less enjoyable than 115A/215A. The material becomes more application based and you really start digging into how to use the subject. It's kind of gross, how mathematical it can be and the class is much slower as a result.","Fall 2019","A"
"Benjamin J Schwartz","CHEM C215A","Quantum Chemistry: Methods","CHEM","stem",5,1,5,2,5,0.0455,0.382,0.1,0.203,0.1245,0.112,0,0,0,0,0,0,0.0335,3.4258,"Ben is one of the best professors I've had at UCLA and the best professor to learn quantum mechanics from on this campus (The man is effectively a quantum mechanic (?) himself and he understands the material to the bone).","Fall 2018","A"
"Michael E Jung","CHEM 144","Practical and Theoretical Introductory Organic Synthesis","CHEM","stem",4.6,1,4.4,1,4.9,0.006,0.273333333333333,0.162333333333333,0.158666666666667,0.197166666666667,0.0978333333333333,0.0338333333333333,0.029,0.0175,0,0,0,0.0241666666666667,3.26278333333333,NA,NA,NA
"Craig A Merlic","CHEM 144","Practical and Theoretical Introductory Organic Synthesis","CHEM","stem",4,1,4,1.3,4,0.07075,0.15875,0.12775,0.147,0.1545,0.08525,0.05575,0.1005,0.04025,0,0.02175,0,0.038,2.98885,"Although this is technically a lab class, you should honestly treat this class as a lecture class that has 8 hours of lab every week. The lectures are fast and go through all of Chem 30 with around twice as much content in each unit, and you'll need to study a lot to understand and memorize the reactions Dr. Merlic covers. He also assigns problem sets and pop quizzes during lectures. The content is pretty interesting esp. if you enjoy synthesis, but the sheer amount of information can get overwhelming. Every week or so, you basically learn a new set of organic reactions (oxidations, organometallics, aldol) and each set has its own set of stereochemistry rules.","Fall 2021","NR"
"Hosea Nelson","CHEM 144","Practical and Theoretical Introductory Organic Synthesis","CHEM","stem",5,2,5,4,5,0.2225,0.3375,0,0.0395,0.3005,0,0,0.0585,0,0,0.0265,0,0.015,3.41535,"Hosea is an awesome guy.  He's super nice, and very engaging.  The class is instructed like his graduate course (244), but covers less material so it is very rigorous.  Though it was tough, especially for someone who had an awful organic professor at community college, if you put in the effort you can manage the grade you want.  Homework was challenging but only graded for completion and going to review sessions was incredibly helpful as he would give us some of the questions before hand to discuss them with our peers.  His teaching style is different than most but that's what makes him so amazing.  Definitely recommend taking him if you like organic chemistry.","Fall 2019","A"
"Justin Caram","CHEM 185","Materials Chemistry Laboratory","CHEM","stem",4,2,4,3,5,0.0278,0.2286,0.3498,0.1638,0.1278,0.053,0.008,0.0408,0,0,0,0,0,3.4869,"The class was definitely rough but an insanely good introduction to materials chem. Get a good breadth of everything popping in materials chem and get pretty good hands-on experience. You write 2 lab reports, 2 PowerPoints, and a last PowerPoint that you present in front of the class with a partner (so no exams in this class which is a plus). Don't be fooled though as the reports take a really long time and sometimes I wish that there were exams because every weekend was just grinding out these reports- especially near the end. Week 9 - Finals had our in-person presentation, a written and PowerPoint lab report which was just a ridiculous amount of work while trying to balance anything else in life.","Spring 2022","A"
"Xiangfeng Duan","CHEM 185","Materials Chemistry Laboratory","CHEM","stem",5,3.5,4.5,4,5,0.1266,0.251,0.3347,0.2097,0.0436,0.0117,0.0129,0.01,0,0,0,0,0,3.65286,"I took this class in person and it ended up being a very interesting class! For this quarter you get to choose 4 labs out of 8 and you have to do 2 powerpoint lab reports, 1 group presentation, and 1 written lab report.","Fall 2021","A"
"Roshini Ramachandran","CHEM 3","Material World","CHEM","stem",5,5,5,5,5,0.024,0.829,0.098,0.024,0.024,0,0,0,0,0,0,0,0,3.9258,"Prof. Roshini is the sweetest professor I've ever encountered. She cares more that her students have a positive experience with chemistry and are engaged rather than strict grading. If you get anything below an A in this class I would honestly be impressed because of how hard that would be to do. This is easily the simplest GE I've ever taken. All the content is very interesting, but honestly the lack of examinations gave me little motivation to give this class much effort.You can get the textbook for free online, but you really don't need it.","Fall 2020","A"
"Alexander Spokoyny","CHEM 3","Material World","CHEM","stem",4.7,4.1,4.4,4.2,4.6,0.0555,0.50825,0.231,0.11225,0.0735,0.01,0.006,0,0.004,0,0,0,0,3.748225,"TLDR: loved the class, would take it again, and it is WAY easier than any other chemistry class BUT the tests are unfair and there's no way to study for them since it's mostly on random stuff he mentions once (but its almost impossible to get anything below an A- so TAKE THIS CLASS!!!)okay so here's the breakdownMidterm: 25%Final: 35%Lab Projects: 20%Independent Project: 10%Attendance/Participation: 10%Class is curved so an A- is an 88%, B- is 75% etc.One textbook called Stuff Matters, pretty easy to read midterm and final will have one or two random questions about the bookThe lab projects are done in lab groups of 2 or 3 people and are basically just tik toks about what y'all did in lab that week then the independent project is the same thing but you pick the experiment you want to do. They're super fun and easy to bs.Attendance is MANDATORY!! You have to attend 90% of lectures so basically you can miss 2, there is a sign in sheet that goes around the class but tbh there were a few times that I signed in then left and I was fine. I'm not gonna lie the lectures feel like they drag on and weren't always the most interesting but you learn about things that you encounter in day to day life so that was cool. Plus they were bruincasted but only audio! My favorite topics were nuclear weapons, drugs, and radiation!THE TESTS: you're allowed to have a cheat sheet of a regular sized piece of paper, one side is for the midterm then the backside is for the final. The issue is that most of the questions on the reviews and practice tests (which are what I would put on my cheat sheet) were rarely questions on the actual test. I studied like crazy for the final and still got a D on it. BUT its so easy to get 100% in every other part of the class and the class is curved so even if you fail the tests you will still most likely get an A!!!","Fall 2022","A-"
"Steven G Clarke","CHEM 269B","Biocatalysis and Bioenergetics","CHEM","stem",4.7,1.8,4.3,1.7,4.7,0.0705,0.5725,0.1455,0.141,0.025,0.0455,0,0,0,0,0,0,0,3.7735,"Extremely enthusiastic. Perhaps the most animated and dynamic personality in the department. Lectures are clear and to the point. Very few wasted words when lecturing.You'll also notice Clarke's rather unique and interesting body movement if you take his class.",NA,NA
"Steven G Clarke","CHEM C165","Metabolic Control by Protein Modification","CHEM","stem",4.5,1.5,4.8,1.2,4.5,0.039,0.582333333333333,0.134,0.083,0.045,0.04,0.077,0,0,0,0,0,0,3.67513333333333,NA,NA,NA
"Jorge Z Torres","CHEM C165","Metabolic Control by Protein Modification","CHEM","stem",5,4,5,3,5,0,0.666,0.201,0.097,0.0176666666666667,0.0186666666666667,0,0,0,0,0,0,0,3.8312,"Definitely take a class with this professor if you can. He's extremely knowledgeable and engaging!","Winter 2019","A"
"Richard B Kaner","CHEM C180","Solid-State Chemistry","CHEM","stem",4.3,2.8,4.3,3.1,5,0.0342727272727273,0.407909090909091,0.116818181818182,0.1,0.229545454545455,0.0606363636363636,0.0218181818181818,0.0126363636363636,0.0122727272727273,0,0,0,0.00390909090909091,3.47962727272727,"Kaner was once again amazing by making the class so engaging and interesting upon solid state which discusses a lot about crystals/solids. Weirdly, I would say it's very slightly easier than 171 with simpler concepts (1/4 of the class was just lattice structures again) and only 7 PS w/ easy grading. However, there are a LOT more concepts and Kaner classic, the midterm was crazy long and hard considering the time constraint. I bombed it (below average) but the final was less tricky and I did much better which landed me an A-. I would say the class overall was interesting and ofc Kaner just makes it more engaging.","Spring 2023","A-"
"Justin Caram","CHEM 14AE","General Chemistry for Life Scientists I--Enhanced","CHEM","stem",3.2,2.2,2.5,4,3,0.009,0.294,0.162,0.083,0.215,0.075,0.039,0.075,0.004,0.009,0.009,0.018,0.009,3.2126,"Overall, Caram is just an okay professor. He is incredibly smart and absolutely knows what he's talking about, but that ends up not working out so great because he'll zoom over difficult content like it's nothing. He was also very disorganized throughout the quarter, and lectures often went on tangents that weren't exactly helpful information and distracted from the overall content. However, I will say that the POGIL worksheets during discussions were absolute godsends. You will learn so much through this class if you show up, do the work, and even though the midterms and final exam was extremely difficult (esp for an introductory course), you will come out of this class knowing so much more than the 14a classes.","Fall 2023","A"
"Jennifer Casey","CHEM 14AE","General Chemistry for Life Scientists I--Enhanced","CHEM","stem",4.7,3.1,4.7,3.1,4.9,0.002,0.7575,0.063,0.024,0.097,0.015,0.011,0.026,0,0,0.0045,0,0,3.7636,"Here’s a genuine review of this class in my opinion: the class itself is pretty difficult, especially at first. The percentage distribution of test and the final seem nice at first, but the tests are EXTREMELY difficult. IF YOU DECIDE TO TAKE THIS CLASS DO NOT TAKE THIS CLASS WITH TA JAY HE IS AN INCREDIBLY TOUGH GRADER AND MARKS OFF ON EVERYTHING (he’s the TA everyone hates). I definitely could have done better in this course, but I ended up being scored super unfairly on one of the major assessments by JAY. I also wish the final was replaced with a cumulative discussion worksheet like it was last quarter, and I think we should have been able to opt out of it. To survive in this class, you have to attend LA workshops and ask for help otherwise you won’t do good. Dr. Casey is a super great professor, but the lecture content and exam content had a big gap in my opinion.","Fall 2020","U"
"Stephanie L Gould","CHEM 20L","General Chemistry Laboratory","CHEM","stem",4.5,2.2,4.5,2.8,4,0,0.66,0.062,0.031,0.201,0.015,0,0.026,0,0,0.005,0,0,3.6722,"Professor Gould has very organized lectures, and hands out powerpoint notes for each of them. The material covered corresponds to 20B so having both classes at the same time would be advantageous. Her exams are fair (though the midterm was long, but she lowered the point value after she realized it). The final was a lot easier than the midterm, partly, in my opinion, because she realized that her midterm was too long. The CPR exercises are tedious but doable. The labs themselves are pretty simple, a lot of titrations, a distillation, dilutions, spectrophotometric anaylsis, etc. The TAs tend to grade the labs differently though, so your grade does kind of depend on who your TA is. However, Professor Gould herself is always willing to help during her office hours, which are worth going to. Overall, I would highly recommend taking Gould if you're going to take 20L, since I heard the other professors aren't that great.",NA,NA
"Maher M Henary","CHEM 20L","General Chemistry Laboratory","CHEM","stem",2.8,3.8,2,3,2.5,0,0.477,0.0536666666666667,0.0793333333333333,0.290666666666667,0.02,0.03,0.022,0.0116666666666667,0.00166666666666667,0.01,0,0.00333333333333333,3.43936666666667,"Pros:","Spring 2021","A"
"Johnny Pang","CHEM 20L","General Chemistry Laboratory","CHEM","stem",4.6,3.9,4.6,3.1,4.6,0.000476190476190476,0.346190476190476,0.0667142857142857,0.0482857142857143,0.295047619047619,0.0202380952380952,0.00980952380952381,0.168714285714286,0.0225714285714286,0,0.0147619047619048,0,0.00752380952380952,3.1457619047619,"Professor Pang made this course very accomodating for students everywhere. Asynchronous lectures, light workload, and 24 hour exams. The exams, as well as the homeworks and lab reports were light in terms of courseload. I would spend about 4 hours  a week max working on homework and lab reports. His slides are concise and informative, and we breeze through a lot of content in such a short time. His lectures are done on PowerPoint though, so no 2x speed. He is available for many office hours, and labs were not very time consuming (we could leave early). He is also very responsive to emails, so don't be afraid to reach out if you need help.","Winter 2021","A"
"Arlene A Russell","CHEM 20L","General Chemistry Laboratory","CHEM","stem",2.8,2.9,2.1,1.9,2.5,0.0075,0.601,0.0595,0.06,0.1655,0.013,0.015,0.063,0,0,0.0075,0,0.0075,3.55175,"So the Spring 2020  quarter was online due to the COVID19 pandemic. Professor Russell is not the best at technology and since everything was online (and the transition to remote learning was really fast), the first few weeks of chem 20L was pretty rough and disorganized. In my opinion, this class had a little bit too much work for a lab class.Lectures: attendance is not mandatory I believe (I stopped showing up after week 8), and Professor Russell herself is not engaging and pretty dull. She records and posts her lecture presentations online. I think her lectures are alright; for me, I would read the supplemental readings on CCLE to get a full understanding of the material.Labs: Pre and Postlabs are due before your lab section, but since this was all online, we were allowed to turn in our labs on Friday with no penalty. You basically had two different kinds of labs to turn in most weeks so it may feel like you have a lot on your shoulders. Some postlabs were done with a partner. Sometimes labs will only make sense if you ask your TA how it's done. IMO Russell is very consistent in not making sense on her directions on labs, so that's when TAs come in to address what's going on (I praise the Chem 20L TAs this quarter shoutout to them). I think labs, in general, are doable if you allow yourself time to do them.Quizzes: I swear quizzes were the only component of the class that didn't stress us out. There was a deadline to do them, but we are given unlimited attempts and she counts the highest score.CPR: The Calibrated Peer Review is a drag to the soul. It's a program that has its own assignments that students must complete, students have to write a text/essay about a certain topic that we have learned (for example, we wrote essays about significant figures, scientific graphs, and titrations). I'm pretty sure these assignments took most students more than a few hours to complete. Besides writing an essay, you would have to go through a calibration, grading and self assessment process. In the end, your grade is based on how other students in the class grade your essay.Midterm: I kinda forgot what happened during the midterm. I remember going ""?????""  in my head though. It was mostly multiple choice and some were free response.Final: all of it was free-response so you had to show your work. the final practice exam was helpful though. For both the midterm and final, how you do your work may be very different to how Russell does the work so keep that in mind.Arlene Russell herself: to the student reading this, you are much better off teaching yourself with the supplemental readings on CCLE, recorded lectures, and your TAs. Russell is somewhat helpful and she is sometimes clear on her instructions. We're allowed to ask her questions on piazza and I remember at one point Russell went M.I.A. on piazza when we had an entire lab due soon. Whenever she did answer questions on piazza, her explanations can be vague, sometimes a little rude and she'll just say ""yes,"" ""no,"" or ""look at *attached message*"" She does upload practice problems for midterms and for the final. She also provides the lab manual on CCLE.As I am writing this I am feeling angry so to finish this review, I started referring her as Arlene instead of Professor Russell.","Spring 2020","A-"
"Chong Liu","CHEM C172","Advanced Inorganic Chemistry","CHEM","stem",5,3.5,4.5,3.2,5,0.261,0.1895,0.2295,0.131,0.097,0.013,0.008,0.0145,0.013,0.0145,0.008,0.0065,0.0145,3.51045,"Second the reviews given here! Dr. Liu was incredibly caring since it was his first time teaching this class I think it will be even better the next time he teaches. The 3 problem sets were pretty extensive but I think the tradeoff for not having midterms is pretty good and the class felt like you were getting out what you were putting in. I think it was super manageable with the other 3 classes I was taking and research and the week long final that we had was also not too bad and I could fit it in after I was done with my other finals.","Spring 2021","A+"
"Timothy J Deming","CHEM C105","Introduction to Chemistry of Biology","CHEM","stem",3,3,3,3,3,0.172,0.172,0.207,0.138,0.241,0.069,0,0,0,0,0,0,0,3.5066,NA,NA,NA
"Ellen M Sletten","CHEM C105","Introduction to Chemistry of Biology","CHEM","stem",4.6,1.8,4.4,2,4.6,0.112166666666667,0.265333333333333,0.1515,0.122166666666667,0.137833333333333,0.0846666666666667,0.0426666666666667,0.0163333333333333,0.00883333333333333,0,0.0198333333333333,0,0.039,3.28145,"This is not an easy class. There is a lot of material, but I think that it is an incredibly useful class. You get a lot of exposure to different fields/aspects of chemical biology and it really emphasizes fundamental methods in the field. You'll leave this class with a very strong chemical toolbox. It's one of the most useful classes that I have taken here at UCLA. And it's a fun class! Very interesting material and strong course structure design. 10/10 would take again.","Spring 2020","A+"
"Anastassia N Alexandrova","CHEM 20AH","Chemical Structure (Honors)","CHEM","stem",4.9,2.8,4.5,3.3,4.7,0.0145,0.2645,0.3165,0.1685,0.1485,0.066,0,0.007,0.0145,0,0,0,0,3.50545,"Alexandrova was an awesome lecturer, and although the class was difficult (especially her problem sets -- some of her problems are based on her own research and require you to think outside of the box), you will leave the class with a solid overview of quantum chemistry. Tests are difficult but not impossible, as she focuses more on applying concepts rather than computations.","Fall 2018","A-"
"Delroy A Baugh","CHEM 20AH","Chemical Structure (Honors)","CHEM","stem",1.8,1.8,1,2,2.8,0.154,0.336,0.178,0.1,0.1105,0.089,0.0215,0,0,0,0,0,0.011,3.56985,"Baugh is a brilliant professor w/a really generous curve on midterms.  Exams are not as difficult as you would think, since you actually do not need to know the derivations from lecture.  Take him, you'll get an easy A!",NA,NA
